categorysingleplayer;categorymultiplayer;categorycoop;categorymmo;categoryvrsupport;genreisindie;genreisaction;genreisadventure;genreiscasual;genreisstrategy;genreisrpg;genreissimulation;genreissports;genreisracing;genreismassivelymultiplayer;recommendationcount;id
true;false;false;false;false;false;false;false;true;false;false;false;false;false;false;118;2820
true;false;false;false;false;false;false;false;true;false;false;false;false;false;false;159;2840
true;false;false;false;false;false;false;false;true;false;false;false;false;false;false;682;2850
true;false;false;false;false;false;false;false;true;false;false;false;false;false;false;618;2870
true;false;false;false;false;false;false;false;true;false;false;false;false;false;false;248;2900
true;false;false;false;false;false;false;false;false;true;false;false;false;false;false;6207;2910
true;false;false;false;false;false;false;false;true;false;false;false;false;false;false;124;2920
true;false;false;false;false;false;true;false;true;false;false;false;false;false;false;225;2990
true;false;false;false;false;false;true;false;false;false;false;false;false;false;false;866;3000
true;true;true;false;false;false;true;false;false;false;false;false;false;false;false;425;3010
true;false;false;false;false;false;false;false;false;true;false;false;false;false;false;1195;3020
true;true;false;false;false;false;true;false;false;false;false;false;false;false;false;1084;3050
true;false;false;false;false;false;true;false;false;false;false;false;false;false;false;226;3130
true;false;false;false;false;false;true;false;false;false;false;false;false;false;false;307;3170
true;false;false;false;false;false;true;false;false;false;false;false;false;false;false;224;3200
true;false;false;false;false;false;true;false;false;false;false;false;false;false;false;5130;3230
true;true;false;false;false;false;false;false;false;true;false;false;false;false;false;887;3260
true;true;false;false;false;false;false;false;false;true;false;false;false;false;false;1328;3270
true;false;false;false;false;false;false;false;false;false;true;false;false;false;false;1641;3300
true;false;false;false;false;false;false;false;false;true;false;false;false;false;false;143;3310
true;true;true;false;false;true;false;false;false;false;false;true;false;false;false;237684;3320
true;true;false;false;false;false;false;false;false;false;false;false;false;true;false;126;3330
true;true;false;false;false;false;false;false;false;false;false;false;false;true;false;126;3340
true;true;false;false;false;false;true;false;false;false;true;false;false;false;false;4657;3350
true;true;true;false;false;false;true;false;false;true;false;false;false;false;false;104;3360
true;true;false;false;false;false;true;false;false;false;true;false;false;false;false;2218;3380
true;false;false;false;false;false;true;false;false;false;true;false;false;false;false;2216;3390
true;true;false;false;false;false;true;false;false;true;false;false;false;false;false;3856;3400
true;true;false;false;false;false;false;false;false;true;false;false;false;false;false;2212;3410
true;true;false;false;false;false;false;false;false;true;false;false;false;false;false;1715;3420
